"SS","OR.A1.Est","OR.A0.Est","OR.Est","ORX.Est","PS.Est","SCHID"
2,49.2846440973996,47.3118366008503,47.3118366008503,47.8339514543022,0.226137025991666,1
2,54.5630199193951,52.3612734243722,52.3612734243722,53.0839145921318,0.42606674168458,1
2,49.0216244187122,46.8727628626051,46.8727628626051,47.5562011086612,0.285635792844314,1
2,43.5428052344106,41.4994371406187,41.4994371406187,41.8371163538054,0.155133640528661,1
2,48.8441965570966,46.776929160598,46.776929160598,47.1412314229952,0.0919003713768118,1
2,60.884242745559,59.0764244223269,59.0764244223269,59.8219363459913,0.470686569850098,1
2,55.4632930376301,53.3451860127243,53.3451860127243,53.8439433226579,0.34409353049033,1
2,59.2492512382185,57.4197597544142,57.4197597544142,57.9083632744643,0.127356072098805,1
2,62.3781301915966,60.5023612022246,60.5023612022246,61.1662076311294,0.265686444841447,1
2,49.240424727915,47.0411385674731,47.0411385674731,47.2397114020798,0.16724601439721,1
2,48.7829129043534,46.6612585290025,46.6612585290025,47.2801152051924,0.3638423052582,1
2,63.0072743334966,61.4261254648685,61.4261254648685,61.4335619315692,0.320946865842253,1
2,44.9087650946704,42.9228449248763,42.9228449248763,43.3373922660692,0.162008664637147,1
2,47.3218290091835,45.3132928994261,45.3132928994261,46.1715563116573,0.446741527233486,1
2,58.5474380047426,56.6580222405068,56.6580222405068,57.1292975284682,0.258060170655932,1
2,53.4989604228639,51.4635447960536,51.4635447960536,51.7185770060289,0.113238322993135,1
2,31.1232048289095,29.0674738028251,29.0674738028251,29.3562917671789,0.0685460047577383,1
1,29.1155550670665,28.3406640401299,28.3406640401299,28.254594580193,0.032306849425561,2
1,56.9631610854699,56.5108765952564,56.5108765952564,56.9284702890796,0.347930129111573,2
1,62.4557725862964,62.0595908707746,62.4557725862964,62.0617054879708,0.595068740105418,3
1,39.260694980853,38.5270604319979,39.260694980853,38.7241372041578,0.416892021487182,3
1,55.1121805371632,54.8288485102423,55.1121805371632,54.6628031050393,0.50686284449922,3
1,48.2303976283463,47.488537744205,48.2303976283463,48.0131277202818,0.310276692489769,3
1,47.3356649288982,46.7028307012601,47.3356649288982,47.0782133034941,0.412625588217176,3
1,52.1063148542224,51.4831411224979,52.1063148542224,51.3078257718608,0.0809098886242248,3
1,73.5410269839893,73.1870839599383,73.5410269839893,73.0492298095247,0.597943192858208,3
1,64.1067118707298,63.6146605000878,64.1067118707298,64.1600386818886,0.652935215249929,3
2,65.1803682937131,63.2920029620504,65.1803682937131,63.8172312488476,0.0537512528892648,4
2,67.4160415917751,65.6298535275653,67.4160415917751,66.1610563684161,0.0537181120992443,4
2,65.3087653391672,63.6239216049255,65.3087653391672,63.8612653420155,0.16057968166447,4
2,64.1851687486434,62.4186650603532,64.1851687486434,62.7245507306165,0.198678961220538,4
2,63.3231135091029,61.5666990279577,63.3231135091029,61.7885535584505,0.0287526895262987,4
1,33.3195952811733,32.7003702398699,32.7003702398699,32.6374006790645,0.20704316159458,5
1,40.2927943002406,39.7528601609068,39.7528601609068,39.8798332305134,0.420741852446153,5
1,64.0379198792047,63.6270685951732,64.0379198792047,63.7869911703667,0.599240403314953,6
2,50.3221367590301,48.2083398617742,50.3221367590301,48.8037550606851,0.279926598973803,7
2,33.82904660317,31.6753441276101,33.82904660317,31.9533588312474,0.0997395622649672,7
2,48.0557086892953,46.1225226858288,48.0557086892953,46.5434549380993,0.214641775411354,7
2,40.0266186937189,38.0423561540142,40.0266186937189,38.715547450322,0.304486418533095,7
2,58.7000764627914,56.6967741309592,58.7000764627914,57.2001676431827,0.326646521921581,7
1,45.7595156671884,45.3204418160992,45.7595156671884,45.5589050561125,0.189828350049196,8
2,63.1546904454421,61.4529155135062,63.1546904454421,61.4637804377328,0.0244754161881978,9
2,71.6529350370376,69.905502736798,71.6529350370376,70.4814079676239,0.180770559421502,9
1,56.934536381146,56.723480746964,56.723480746964,56.8229191321317,0.0371134190010062,12
1,65.7970256734318,65.5576122469314,65.5576122469314,65.6147622650183,0.111937236990551,14
1,62.5233830441543,62.2768495888709,62.2768495888709,62.2599672149952,0.33522445857211,14
1,65.7249334245548,65.3910507812971,65.3910507812971,65.4921529018031,0.110000324930393,14
1,69.9269385151078,69.5761876177372,69.5761876177372,69.4885426967236,0.043523079155765,14
1,66.486178359605,66.2355454886924,66.2355454886924,66.5940859878412,0.137507964337625,14
1,48.9467007553685,48.5719514919518,48.5719514919518,48.5080523014182,0.0416393631617091,14
1,63.4784362431712,63.2202788629552,63.2202788629552,63.3699873179794,0.086960483297926,14
1,58.6087650338761,58.2242846477503,58.2242846477503,58.4582871113198,0.293698262040153,14
1,63.2676462585421,62.9742183932458,62.9742183932458,63.2246751022214,0.0836332842736957,14
1,66.9200327544877,66.5748406327993,66.5748406327993,66.5006259842938,0.0280092712658419,14
1,49.6183077056257,49.4432168013613,49.4432168013613,49.3481562746589,0.0610397808133,17
1,38.4953583307074,38.2101200605789,38.2101200605789,38.3790286883854,0.371811485283587,17
1,54.7331426681035,54.448936450203,54.448936450203,54.6126225777194,0.584265139389496,17
1,35.8315072395108,34.9656178786268,34.9656178786268,35.3917931985452,0.0596646228685746,17
1,34.4827502356543,33.8184847509879,33.8184847509879,33.7430820055162,0.0442733084008793,17
1,60.156505870932,59.3999527208384,59.3999527208384,60.3485993520017,0.630451651870561,17
1,36.3592734170295,35.6140120749989,35.6140120749989,35.8140501527538,0.238598773080133,17
1,45.8274106572046,45.3709020952868,45.3709020952868,45.5176795034321,0.326451410055208,17
1,50.5636169617151,50.066783612035,50.066783612035,50.2471101795372,0.554926839772885,17
1,41.7574520846009,41.3935175127474,41.3935175127474,41.5282764790991,0.118298694159165,17
1,55.0899566396292,54.7034919828366,54.7034919828366,54.6952795254522,0.587651069137483,17
1,64.6353026109319,64.2920175551854,64.2920175551854,64.3563566696999,0.0419172712100883,17
1,59.2813034295878,58.7757088038301,58.7757088038301,59.0692810879603,0.0364099682723691,18
2,55.2392703963521,53.3580490466576,53.3580490466576,54.6835556673929,0.117762804884996,19
2,70.1020718075918,68.4463982338243,68.4463982338243,68.6523093916091,0.0862218627772804,19
2,54.1824444849484,52.0791886285597,52.0791886285597,52.809197545997,0.104484485431941,19
2,39.6869761026595,37.5123211178983,37.5123211178983,37.5220843654647,0.0357141612197873,19
2,61.9624344356504,60.2164658250149,60.2164658250149,60.8078613014006,0.0607681841764766,19
2,54.5014714112853,52.4976147992972,52.4976147992972,52.7014700717189,0.0657953018968944,19
2,50.1454485393707,47.9790794568016,47.9790794568016,48.7590663765188,0.083067010493824,19
2,59.1927594001476,57.4161349575587,57.4161349575587,58.4092343459112,0.0867970207631889,19
2,59.2642188165561,57.4571484470645,57.4571484470645,57.6835757013274,0.0336820811809495,19
2,71.4468625399524,69.7369256393161,69.7369256393161,69.8608672690284,0.0673336730776669,19
2,46.1610425643485,44.3234962294044,44.3234962294044,44.4425654788553,0.0489905126119752,19
2,70.8090408688741,69.2109616252269,69.2109616252269,69.0966269829286,0.0800210729777387,19
1,63.3211586799107,62.9284417828904,62.9284417828904,63.025997280305,0.0269320630023016,20
1,56.0499779523137,55.815177816584,55.815177816584,55.794065641728,0.0616247737286484,20
1,28.8004517134584,28.5058740364014,28.5058740364014,28.9087794743273,0.0167097161607749,20
1,42.4036620966162,42.0109243995348,42.0109243995348,42.1998297166189,0.0571205011000651,20
1,54.9484338516907,54.3852294330371,54.3852294330371,54.166747263584,0.0524819764690625,20
1,60.2660346606256,59.9300264734004,60.2660346606256,60.1449056735959,0.184111802253984,20
2,41.5136125186415,39.5638038268181,39.5638038268181,39.7226786240653,0.0593088691170193,22
2,60.8938090197426,59.115455971956,59.115455971956,59.3423775436402,0.0212420948570216,22
2,58.5965239203029,56.8167070404943,58.5965239203029,56.2233607095434,0.0539977719476791,23
2,50.695230243611,48.7031094270067,50.695230243611,49.0300795968902,0.0529161875581589,23
2,35.663351585491,33.6269197162552,35.663351585491,33.5882592685982,0.082146209763923,23
2,32.4312427413542,30.4742879740241,32.4312427413542,30.3697825878145,0.0455699955583204,23
2,34.9314222581473,32.8824909625277,34.9314222581473,32.8093871023191,0.0138329941979254,23
2,33.5315837644436,31.4602400992965,33.5315837644436,31.0013056330635,0.011876769805804,23
1,48.1132150472075,47.5073073673575,47.5073073673575,47.2714212761918,0.119149588146216,24
1,44.5142074676677,43.9799643943627,43.9799643943627,44.3165986032378,0.125266188636264,24
2,51.1196300154295,48.952335650717,48.952335650717,49.1925079476636,0.0282190563688489,25
1,38.2568007827715,37.7329320460983,37.7329320460983,37.3815699922085,0.0230260346426366,26
2,47.0990325902899,44.8975855298628,44.8975855298628,44.9718380806234,0.00901711250426851,27
2,36.3934502558218,34.3660124051276,34.3660124051276,34.304318842038,0.0277295135709659,27
2,48.9905975511348,46.9963643366165,46.9963643366165,46.9417488979608,0.0365940794162258,27
2,57.0431889602766,54.9867531340014,54.9867531340014,55.5226596324143,0.0501260399605604,27
1,38.1428535356502,37.508670671786,37.508670671786,37.439165680244,0.108426971022717,28
1,45.8670067537772,45.4029534297983,45.4029534297983,45.1965826439139,0.145203286382468,28
1,39.5169943513594,39.3192880220331,39.3192880220331,38.8238428274753,0.0372534049225113,28
1,60.6758895747555,60.349216107182,60.349216107182,60.014672715069,0.12191150376274,28
1,50.4326656785736,50.2530176577149,50.2530176577149,50.0702668370812,0.0739115611248566,28
1,45.46032167929,45.097090900255,45.097090900255,44.965851068197,0.0377373772603966,28
1,36.6125583739471,36.1613033042738,36.1613033042738,36.1800866672297,0.0837082913956145,28
1,67.1598445387908,66.7721948101757,66.7721948101757,66.7066696200724,0.0292549973356033,28
1,56.6128542113729,56.2584629843191,56.2584629843191,56.0485499980952,0.143498755913751,28
1,41.8391578746511,41.5388141325235,41.5388141325235,41.5661782266885,0.120564842963933,28
1,52.0482153562667,51.7245537891351,51.7245537891351,51.0715297931096,0.0234328263138896,28
1,42.6544420836968,42.1844271054037,42.1844271054037,42.3315212740733,0.0749058432936174,28
1,59.0646541449491,58.7188307028628,58.7188307028628,58.5935604095949,0.0243481899721826,29
1,61.4957214583012,61.2090625238828,61.2090625238828,61.1885462466658,0.023154899269338,29
