"SS","OR.A1.Est","OR.A0.Est","OR.Est","ORX.Est","PS.Est","SCHID"
2,50.1870499391243,48.2593430486624,48.2593430486624,48.6197718272615,0.225989016772884,1
2,54.6151286944186,52.6826392021071,52.6826392021071,53.4008762003484,0.496319036174519,1
2,49.241734562812,47.2255790001577,47.2255790001577,47.8422516547202,0.414160873914699,1
2,43.4545406319427,41.4758703858527,41.4758703858527,41.9590426231592,0.31496282114117,1
2,49.9698256042306,48.1361438686665,48.1361438686665,48.3757924279617,0.147711947824872,1
2,61.3482072963188,59.57467566523,59.57467566523,60.2685411382223,0.466590985929884,1
2,55.8974675122623,54.1682981864349,54.1682981864349,54.6998044418606,0.468457994169593,1
2,59.8786923606623,57.980068504222,57.980068504222,58.7084329477265,0.301090943666429,1
2,62.8903883707628,61.1267615613916,61.1267615613916,61.5301236340228,0.329096903640214,1
2,49.1118429586852,47.1164052970308,47.1164052970308,47.4694704007555,0.206445810113365,1
2,49.023312500078,47.206672715705,47.206672715705,47.620590849923,0.359429627004687,1
2,62.6714708233299,60.9493348142626,60.9493348142626,61.5394093988538,0.267024281462545,1
2,45.34211682174,43.4387275216267,43.4387275216267,43.7196806293152,0.207658727368495,1
2,46.6900036254162,44.629934011523,44.629934011523,45.6268259633886,0.381267482974405,1
2,59.125756611934,57.29324850674,57.29324850674,57.7621101922226,0.334257432932277,1
2,53.6085197993627,51.7990006302357,51.7990006302357,52.325350213267,0.172337413888854,1
2,31.4050437786624,29.4475458298049,29.4475458298049,29.7180692564662,0.143376957650778,1
1,28.090382835231,28.0410112958263,28.0410112958263,28.2222234003035,0.0312281220416943,2
1,57.1833756535322,56.7099681387755,56.7099681387755,56.5006720146091,0.188419396714405,2
2,64.5450854069182,62.733840932442,64.5450854069182,63.1510529081339,0.271995516711749,3
2,41.2575887824748,39.1848768050777,41.2575887824748,39.7062314538118,0.246395823598634,3
2,56.5912094142453,54.5964491415153,56.5912094142453,55.1194637041135,0.251844882616776,3
2,48.963607773547,46.8698810246579,48.963607773547,47.3106018996146,0.21013124740297,3
2,48.4819639862793,46.4857420164698,48.4819639862793,47.3330278407791,0.267793453711734,3
2,54.5721701986192,52.5743761821805,54.5721701986192,52.6092566023898,0.0589342453767717,3
2,74.6423647380184,73.0110660968893,74.6423647380184,73.4569151863138,0.221372980612155,3
2,65.553445151011,63.6904971876947,65.553445151011,64.5522059830089,0.28983837243717,3
2,65.3473263752183,63.6188292410198,65.3473263752183,64.4760048767051,0.0793504880895937,4
2,67.7007981700157,65.9262830151797,67.7007981700157,66.3479180854012,0.0727380478324195,4
2,65.803432294441,64.0118841585605,65.803432294441,64.0075409016024,0.132758171743338,4
2,64.0048719535622,62.3071340330929,64.0048719535622,62.3176690394567,0.148100269062713,4
2,62.3000922818059,60.538624477476,62.3000922818059,60.8384762568201,0.0288929130696746,4
2,35.9081812261948,33.6889969751744,33.6889969751744,34.464326913014,0.249160347371717,5
2,42.8474067807985,40.7943143059318,40.7943143059318,41.2224402253078,0.339176218478771,5
2,65.7582061843763,63.8345145389451,65.7582061843763,64.5424256886188,0.281302712456751,6
2,50.6474768714905,48.8341021500399,50.6474768714905,49.2446185193975,0.310960926461848,7
2,34.1886154350331,32.2350102883802,34.1886154350331,32.3953839597825,0.229500537032043,7
2,49.0708658189773,47.2512805074047,49.0708658189773,47.5705326869787,0.328488787650689,7
2,40.5539939967451,38.4770675564132,40.5539939967451,38.9509417893156,0.271870053072234,7
2,58.7550103544448,56.860919192157,58.7550103544448,57.3545096352875,0.409645771318455,7
2,46.3859218421022,44.3826618335452,46.3859218421022,44.4288291883816,0.121546785731607,8
2,62.7825394100927,61.1867050779422,62.7825394100927,61.6311126028768,0.0247614437669569,9
2,72.242119095878,70.64036030025,72.242119095878,71.2996669332624,0.160813169901543,9
2,57.9661081335122,56.2387019310653,56.2387019310653,56.2034958712274,0.0266216768800126,12
1,65.9218242629711,65.9230681029969,65.9230681029969,65.9016838418167,0.110905816303656,14
1,62.3948098592207,62.0015771930773,62.0015771930773,61.6677496015038,0.515928589609572,14
1,64.7865099141608,64.5969280829588,64.5969280829588,64.3448135800496,0.0905119755231243,14
1,69.3570262448292,69.1802077265492,69.1802077265492,69.3872260749797,0.0499422057649182,14
1,65.8662674064703,65.6492239033109,65.6492239033109,65.5431785071098,0.0537427368306553,14
1,49.6928084364831,49.2130902304856,49.2130902304856,49.0773540562244,0.0512603024011572,14
1,63.6981569096676,63.8192565490023,63.8192565490023,63.593649928268,0.0652242441836047,14
1,59.8512855810527,59.3987357786362,59.3987357786362,59.1868050864706,0.224268487913109,14
1,63.6210655174444,63.4612354233465,63.4612354233465,63.6313311368011,0.03898629962565,14
1,67.361690826271,67.0723296024236,67.0723296024236,66.8713850839352,0.0363950651404327,14
2,51.7927407410828,49.9274339685933,49.9274339685933,49.8742547004207,0.0509403639646212,17
2,40.676003118454,38.5220927792007,38.5220927792007,39.0291490227744,0.221326347912006,17
2,55.5802719136366,53.7384207031434,53.7384207031434,54.1554993952131,0.361547522466,17
2,37.7965076086558,35.4904282397393,35.4904282397393,36.0397307060308,0.0573553069343775,17
2,37.0960718812529,34.9072145807879,34.9072145807879,35.0039575000889,0.0562944238812041,17
2,61.7372549890054,59.7849206118294,59.7849206118294,60.6561845306665,0.326795098884461,17
2,37.1458746818575,35.0276387509972,35.0276387509972,36.1607555404168,0.230245927403387,17
2,47.5535747332322,45.4831716448309,45.4831716448309,45.9345493630701,0.256305000384025,17
2,51.6388585532823,49.7557520138894,49.7557520138894,50.4026548281582,0.482864785797622,17
2,42.7338092244418,40.785134802426,40.785134802426,41.2949454812983,0.213016901793266,17
2,57.2923716530584,55.4964812289043,55.4964812289043,56.0314095345868,0.426530194187464,17
2,66.4904363091766,64.877931206619,64.877931206619,65.2234060939372,0.0484737303513387,17
2,59.9158013201814,58.0318283669591,58.0318283669591,58.1880524701673,0.0262776173099547,18
1,53.966180516389,54.0222380016683,54.0222380016683,53.6523490627271,0.0667613802358468,19
1,68.9784758226888,68.8897672133126,68.8897672133126,69.0355561453164,0.0633248759941373,19
1,54.0419991439315,53.7866238358871,53.7866238358871,53.7143556541813,0.0717386625353973,19
