"SS","OR.A1.Est","OR.A0.Est","OR.Est","ORX.Est","PS.Est","SCHID"
2,49.3021650363543,48.4276845877312,48.4276845877312,48.4286929798211,0.460960993636099,1
2,53.6374375595981,52.8553150633503,52.8553150633503,53.1878460010506,0.532278930768807,1
2,48.8818246626198,47.860470075375,47.860470075375,48.0369340956479,0.309774339871082,1
2,42.3213192894632,41.1218376560509,41.1218376560509,41.3762617817556,0.213277120519259,1
2,47.6619053775001,47.1074278185831,47.1074278185831,47.5628479153774,0.103853557720731,1
2,60.1484018209054,59.731952808364,59.731952808364,59.7919539150345,0.378809863035292,1
2,54.407028028238,53.9255866127684,53.9255866127684,54.2071204783951,0.462121728205225,1
2,58.3120892941298,57.7790102984715,57.7790102984715,57.6176689373688,0.13231979661345,1
2,61.6206062659125,61.1786530733944,61.1786530733944,61.1368974832706,0.286506754489231,1
2,47.948000278214,46.8270484942768,46.8270484942768,46.9868784434403,0.236301798920554,1
2,48.3739556695322,47.4803830203258,47.4803830203258,47.5239330088079,0.461111103324965,1
2,61.3992136931859,60.9523054091203,60.9523054091203,59.9285521161033,0.312787177058044,1
2,44.2780837037797,43.0623580174608,43.0623580174608,43.013045835144,0.338066156937367,1
2,47.1940205534977,45.85503026461,45.85503026461,46.2326101417881,0.440337610307789,1
2,57.8169033869159,57.3120314648432,57.3120314648432,57.1948666346543,0.244476201555692,1
2,51.0240248623195,50.5678687562209,50.5678687562209,51.0928225104569,0.132864880278474,1
2,30.9638906318412,28.7137590657766,28.7137590657766,29.0064885538076,0.0434415008021068,1
2,29.814279887705,27.6400318661999,27.6400318661999,27.4313529787673,0.016181401642124,2
2,55.5806789400585,55.2188300485713,55.2188300485713,55.6849878010622,0.132246713066676,2
1,62.5015970964184,61.6378139262976,62.5015970964184,61.9590319468537,0.546273730106256,3
1,39.158452197408,38.1519260435877,39.158452197408,38.4282549188563,0.368309097686907,3
1,55.0299766201194,53.9566967597485,55.0299766201194,54.1526796547288,0.285568318518475,3
1,48.9533066225482,47.857177878906,48.9533066225482,47.5219740704234,0.412621843833392,3
