"SS","OR.A1.Est","OR.A0.Est","OR.Est","ORX.Est","PS.Est","SCHID"
1,47.9665138144392,47.4997307718427,47.4997307718427,47.7275154543359,0.385513414372962,1
1,52.49333754041,51.9914138274798,51.9914138274798,52.2497547564779,0.536955528463388,1
1,47.3976426022436,46.8835758250824,46.8835758250824,47.2305357592335,0.324396533124063,1
1,41.5577795174181,41.2199131197399,41.2199131197399,41.3154041565355,0.31459927101159,1
1,48.8171320542095,48.5379309028537,48.5379309028537,48.9742016155854,0.143179237796814,1
1,59.1120312629178,58.7262340027071,58.7262340027071,58.9427141706971,0.577840255353956,1
1,53.9759894574324,53.5097277584597,53.5097277584597,53.6837010307713,0.510432746747243,1
1,58.3087068167966,57.864866917415,57.864866917415,58.0974034140026,0.309908401049879,1
1,60.1961874268931,59.8367201112083,59.8367201112083,60.0686300693124,0.433920605459473,1
1,47.2490399604474,46.6422908361762,46.6422908361762,47.2480670557423,0.283403215673949,1
1,47.3171776177834,46.786592720328,46.786592720328,47.0652539531305,0.513268463147719,1
1,61.5773875375401,61.1163874442077,61.1163874442077,61.1296269897192,0.3728068882387,1
1,42.9408320370735,42.6476662610073,42.6476662610073,42.9580518749623,0.251523357316468,1
1,45.5054422685232,44.8736890622106,44.8736890622106,45.2986581605283,0.333186542512305,1
1,56.5345528132273,56.1565524825546,56.1565524825546,56.3900289601112,0.356729660571594,1
1,53.1538166656153,52.9173104738855,52.9173104738855,52.7276159474099,0.16991377192039,1
1,29.9098898148556,29.3540533651202,29.3540533651202,29.4094738182726,0.123780411201332,1
1,28.862408970196,28.199898630302,28.199898630302,28.0964213259052,0.00856461981021202,2
1,58.7392623297244,58.4128681736262,58.4128681736262,58.3390914856169,0.226255914740712,2
2,63.556370251615,62.0510460631896,63.556370251615,62.5884257453501,0.205540381371803,3
2,40.9827146222162,39.1630914462456,40.9827146222162,39.7031757557737,0.299446913276932,3
2,56.6344846723743,54.7861318466768,56.6344846723743,55.4552068147617,0.276244103632093,3
2,49.8570890345375,47.990400023188,49.8570890345375,48.5974175359229,0.348836973164375,3
2,48.5615773607253,46.5894064717482,48.5615773607253,47.1882710843761,0.181666280786251,3
2,54.268544968952,52.2887513889976,54.268544968952,52.645113103967,0.043099946967512,3
2,73.9929540796126,72.549871388552,73.9929540796126,72.8728887361759,0.298493523691745,3
2,65.4864643845068,63.9380242339599,65.4864643845068,64.2585470230099,0.495175182363195,3
2,65.6474254555555,64.139977300707,65.6474254555555,64.4134113026548,0.0745311899350923,4
2,67.4921031720821,65.9709781670155,67.4921031720821,66.5699420796004,0.0652141584012582,4
2,64.8570155577434,63.2768496102283,64.8570155577434,63.368634582083,0.157876673275953,4
2,63.8480775444279,62.2590590363941,63.8480775444279,61.9991874658,0.204837555364025,4
2,63.4423973479227,61.8767134140736,63.4423973479227,61.6924069920494,0.033056753564505,4
2,35.5948976835298,33.5566655572881,33.5566655572881,34.0056688294678,0.220360065009183,5
2,41.6980351968037,39.8925194985556,39.8925194985556,40.5168432870567,0.274609511886997,5
1,63.9328742100016,63.6355364974772,63.9328742100016,63.5185994930465,0.564617643923595,6
2,50.7343051514414,48.7473904069455,50.7343051514414,49.6237024964471,0.25460824813998,7
2,33.9932414250557,32.2991462488314,33.9932414250557,32.007605578822,0.221716542107803,7
2,48.3739274392394,46.6792602852486,48.3739274392394,47.1393151509872,0.221199299324001,7
2,40.136651958736,38.58067330394,40.136651958736,38.8526667962736,0.198557802517605,7
2,58.7642729955951,56.9162078253305,58.7642729955951,57.3550196049106,0.369023608930022,7
1,44.9012989352683,44.3843596264694,44.9012989352683,44.5350463911444,0.110551562497452,8
1,61.0552749711348,60.7671621012668,61.0552749711348,60.8553499958698,0.0213826504968682,9
1,71.1728655514078,70.7906886402235,71.1728655514078,70.7381347448593,0.185831117413893,9
1,57.0386355151734,56.5861687252047,56.5861687252047,56.6284283348302,0.0173577445785961,12
2,67.1810787083576,65.6472179779839,65.6472179779839,65.7259765903504,0.0862859205302088,14
2,63.6812769952236,62.1679763583968,62.1679763583968,62.3785807302988,0.272173186878548,14
2,66.9040912787786,65.3500227974032,65.3500227974032,65.6051678642777,0.0698442374663402,14
2,70.7855669531325,69.3200838059922,69.3200838059922,69.3813612535178,0.0491710989700078,14
2,67.745057934505,66.4461162426663,66.4461162426663,66.4990864351119,0.0717843591421649,14
2,51.1276324345668,49.3259363812837,49.3259363812837,49.8149363715201,0.0487021179438507,14
2,65.2137267435025,63.8196320791548,63.8196320791548,64.0975111433992,0.0642128412198676,14
2,60.6088789474652,59.0475173604528,59.0475173604528,59.412846664099,0.21325779900879,14
2,64.7697562042948,63.2221319559121,63.2221319559121,63.398401824534,0.0460850540501309,14
2,68.366749036316,66.8867372973526,66.8867372973526,67.0576147630554,0.0276883235611138,14
