"SS","OR.A1.Est","OR.A0.Est","OR.Est","ORX.Est","PS.Est","SCHID"
2,48.8434264203336,48.3727801974118,48.3727801974118,48.4716840348823,0.160422562057494,1
2,53.7677057043454,53.2645428159728,53.2645428159728,53.4401340361997,0.206089303855355,1
2,47.8733654812594,47.2369343616261,47.2369343616261,47.8647389321648,0.238316296843815,1
2,42.0422337469763,41.8116405871846,41.8116405871846,41.8149044953473,0.239592805782617,1
2,48.4164247845956,47.9630376926355,47.9630376926355,48.351745071184,0.105575927348238,1
2,59.0730104477635,58.7663361040123,58.7663361040123,58.6035691444682,0.294940100724332,1
2,54.1362186492812,53.6309382653488,53.6309382653488,53.7052326085258,0.247031497489564,1
2,57.3406603808569,56.8688428784227,56.8688428784227,56.9391683986584,0.156751310595559,1
2,61.1342754140371,60.8975083009023,60.8975083009023,60.8917254080185,0.189893983533019,1
2,48.76677326041,48.0426904670009,48.0426904670009,48.3795196144604,0.15640353225289,1
2,48.350961821558,47.807487388485,47.807487388485,48.0986324396414,0.278776287132228,1
2,60.4794820928156,60.3373096405545,60.3373096405545,60.7152172627921,0.18694321660953,1
2,44.383333268186,43.9901225223461,43.9901225223461,44.1957186811857,0.184627379953196,1
2,46.1171210461073,45.3536735940058,45.3536735940058,45.6751548775151,0.170477268761538,1
2,57.1921256801826,56.678109500929,56.678109500929,56.9511837068729,0.188783686591454,1
2,51.5992625915985,51.1887852964503,51.1887852964503,51.1471689993646,0.149402241740298,1
2,28.5240704816809,28.2467954871049,28.2467954871049,28.3010270949326,0.0573353727417263,1
2,27.777242424508,27.5357539216129,27.5357539216129,27.7604228109967,0.0302230306432701,2
2,57.5587534912914,57.0605526756897,57.0605526756897,57.2070022177518,0.181036157126166,2
2,62.202501898145,62.1288145696839,62.202501898145,61.9736207323396,0.202364950524597,3
2,40.5355807835248,39.8412065384108,40.5355807835248,39.855752921712,0.174954073698649,3
2,56.1377110863618,55.8237659808912,56.1377110863618,56.1282228729249,0.16935458948721,3
2,49.1582142732042,48.5219004740312,49.1582142732042,48.8174440044289,0.172429539302595,3
2,47.0362191539779,46.4246429500014,47.0362191539779,46.6124675168979,0.164146889654235,3
2,53.2519114830666,52.6782535826633,53.2519114830666,52.8739237347054,0.066648530994311,3
2,73.3579424544141,73.3697977745926,73.3579424544141,73.621910914781,0.258252361786723,3
2,63.8093015474029,63.8227997160196,63.8093015474029,63.715776868091,0.249310474717257,3
1,65.0101725174185,63.4910182296428,65.0101725174185,64.0729768650341,0.105120919861864,4
1,66.8302108139088,65.2027260081798,66.8302108139088,65.0887706131981,0.0604526834859062,4
1,64.2253106466108,62.6978951110362,64.2253106466108,63.0818434210847,0.213305090744814,4
1,63.5036717735576,61.9340929922675,63.5036717735576,62.5562618576939,0.255227603521386,4
1,61.4836632356868,60.0600684981747,61.4836632356868,60.6862892098233,0.0293701396998147,4
2,34.3946149741595,34.0315640055656,34.0315640055656,34.3437999858072,0.0992288026793768,5
2,41.0770095614002,40.770591072924,40.770591072924,40.7391817545528,0.131198756814005,5
2,64.169386468638,64.1854393265774,64.169386468638,64.3695501790192,0.211866884586036,6
1,49.6350631751188,48.0159870838154,49.6350631751188,48.7340872132035,0.460772371959622,7
1,33.3387150006189,31.5337283122601,33.3387150006189,31.6130898216427,0.317172640690327,7
1,47.5874880406399,45.9710444740004,47.5874880406399,46.5434312103141,0.348809991885873,7
1,39.2343715565331,37.6955078341677,39.2343715565331,38.181647197262,0.33013376353865,7
1,57.990078251644,56.5799002235614,57.990078251644,57.0970700002585,0.583424618648051,7
2,44.9808818956464,44.3926234489398,44.9808818956464,44.8623950637862,0.0623680137359057,8
2,61.1167966353173,60.7813058175519,61.1167966353173,60.7496479549491,0.017045543250797,9
2,70.9141595545517,70.947425574925,70.9141595545517,70.6128761780441,0.149843432305505,9
1,57.3153507929135,55.8159368638902,55.8159368638902,56.3281654476674,0.0305674894066216,12
2,65.6576801012301,65.6619536752766,65.6619536752766,65.2654799477512,0.11345750238189,14
2,62.4410050752755,62.4204287372568,62.4204287372568,62.3150740375023,0.469770457126771,14
2,65.5407099639082,65.4900760311706,65.4900760311706,65.4557223548896,0.0744613269281965,14
2,69.8508917607065,69.7814959930066,69.7814959930066,69.6690287029399,0.0263948309925124,14
2,66.2809870566491,66.0131464701439,66.0131464701439,65.3355696581854,0.103958957829562,14
2,49.6765433972718,49.1016596187891,49.1016596187891,48.8813349881904,0.0328372836955224,14
2,63.0398367251725,63.116224024042,63.116224024042,63.419910078206,0.0403083377465284,14
2,60.9766340029283,60.708350783694,60.708350783694,60.7139567337038,0.142121044917889,14
