"SS","OR.A1.Est","OR.A0.Est","OR.Est","ORX.Est","PS.Est","SCHID"
2,48.4575856103289,47.4003550779364,47.4003550779364,47.6366976512189,0.465105780223118,1
2,53.5760998602244,52.4321515139743,52.4321515139743,52.7253731848341,0.61705581172494,1
2,48.2757138583267,47.1107838740492,47.1107838740492,47.6360709332964,0.449811053066322,1
2,42.0202894661675,40.9655522585805,40.9655522585805,41.2532129352647,0.400380129807575,1
2,48.8051097119423,47.8619106826716,47.8619106826716,47.9288924375546,0.258692083121519,1
2,59.7063620525845,58.6958697346309,58.6958697346309,59.2104830248884,0.588192700226126,1
2,54.4100780267027,53.2416392762449,53.2416392762449,54.026762173562,0.54680558678513,1
2,58.5790296788568,57.5761380951778,57.5761380951778,57.743761612608,0.392469552685313,1
2,61.3982863701565,60.4460581497485,60.4460581497485,60.9070664132991,0.546647330028835,1
2,48.3999829916105,47.3611241739295,47.3611241739295,47.8377529787664,0.287205630861008,1
2,48.0115234881879,46.9408486472001,46.9408486472001,47.1782860224342,0.517448429416681,1
2,60.5490431460685,59.7059945289978,59.7059945289978,60.8709245679337,0.413919574016041,1
2,43.9414261336455,42.9073916626373,42.9073916626373,42.9558869439713,0.372550619134804,1
2,46.4829732579988,45.3739602070384,45.3739602070384,45.7452738001136,0.466062197706081,1
2,57.6372456431022,56.52880879142,56.52880879142,57.1129647648347,0.471198275802734,1
2,52.6926249230568,51.6789149421214,51.6789149421214,51.791476354075,0.240361649505896,1
2,29.7659968818279,28.7948987454625,28.7948987454625,28.6460692034046,0.202207082927575,1
2,28.2899806652818,27.2326423969876,27.2326423969876,26.9753144651507,0.0187426296268502,2
2,58.0113387873538,56.9292481591708,56.9292481591708,57.2567162838928,0.316484775821413,2
2,63.1177407862233,62.2705356322332,63.1177407862233,62.5853807287501,0.492782409989657,3
2,40.9586465096914,39.8996141576256,40.9586465096914,39.9487593009287,0.313274075529373,3
2,55.6138872848914,54.5896897102678,55.6138872848914,55.1379871022165,0.37792231090985,3
2,49.8151096553127,48.727227181467,49.8151096553127,48.7839192563209,0.31937142780547,3
2,47.4471606958168,46.371453343662,47.4471606958168,46.8873182703896,0.306687811419437,3
2,53.3488698075179,52.2486127452917,53.3488698075179,52.6246835444253,0.0794722099119588,3
2,74.0376090228935,73.3251794511187,74.0376090228935,73.3573582344303,0.420406340552737,3
2,64.8541012473804,63.997572283775,64.8541012473804,64.5079385850292,0.484942324367751,3
2,64.1651658905923,63.3272192300546,64.1651658905923,63.6481502997034,0.118425557563345,4
2,66.4374413087228,65.6384528260327,66.4374413087228,66.20027453066,0.104170786299513,4
2,64.862288818788,64.1041442814759,64.862288818788,64.1540154422722,0.162019145739841,4
2,63.7223906028703,62.8381627223621,63.7223906028703,62.9093924909497,0.177013236409572,4
2,62.7933332393466,62.0807169622729,62.7933332393466,62.1094250499117,0.0282336343934165,4
1,34.8343256661332,34.1159419818367,34.1159419818367,34.4938184835136,0.123016479084075,5
1,40.9043239339695,40.3930256848341,40.3930256848341,40.7430533931915,0.27724677971178,5
1,64.5652509062698,63.8224837056315,64.5652509062698,64.1776752326355,0.422486586647473,6
2,49.5628666637494,48.4885869231987,49.5628666637494,48.6959623135633,0.502992635486755,7
2,32.6274528277958,31.6015268853556,32.6274528277958,31.7091560305881,0.31061458551659,7
2,47.6502970581982,46.6116903956588,47.6502970581982,46.9032389821628,0.500796460099474,7
2,39.1285885112724,38.1465908296638,39.1285885112724,38.300162696412,0.513229618866547,7
2,58.0431797507106,56.9260951493576,58.0431797507106,57.5319485052693,0.513078187804982,7
2,45.6137057392545,44.6530019793273,45.6137057392545,44.8326469793734,0.161058995023427,8
1,61.5958084483088,61.1712345433084,61.5958084483088,61.3056191552672,0.026668999458305,9
1,72.0794094643837,71.3359626517688,72.0794094643837,71.5670457580137,0.188154016570435,9
1,57.1474039661095,56.7626741409789,56.7626741409789,56.7877282193052,0.0368947894740062,12
2,66.3779649624839,65.7229970137073,65.7229970137073,65.8944614664912,0.134581552050753,14
2,63.0188323584195,62.2341745402384,62.2341745402384,62.2932381660151,0.503969125024219,14
2,66.215183488022,65.4529440265761,65.4529440265761,65.7500713930773,0.11384606696794,14
2,70.0909834006216,69.3784117001023,69.3784117001023,69.4206067314822,0.0627825266990549,14
2,67.3506302806786,66.6293243810768,66.6293243810768,66.4217015438957,0.110963961727994,14
2,50.1636372529595,49.1357385973181,49.1357385973181,48.9788544947257,0.0357575426095809,14
2,64.7022948761389,63.9085037244035,63.9085037244035,64.0204848598475,0.0830349606098622,14
2,61.3990959523329,60.4173966220612,60.4173966220612,60.4692856900085,0.265902635086647,14
