"SS","OR.A1.Est","OR.A0.Est","OR.Est","ORX.Est","PS.Est","SCHID"
2,49.4553726948961,47.8151090727075,47.8151090727075,47.901385693691,0.326191088592923,1
2,53.3727681498798,51.7468322759772,51.7468322759772,52.3003845687294,0.389117102145758,1
2,47.9761621917254,46.1384321095209,46.1384321095209,46.5973380065726,0.322099822184607,1
2,42.3559509645238,40.6714165313206,40.6714165313206,40.5816346103761,0.296716760732728,1
2,48.9124565733638,47.9693019481284,47.9693019481284,47.4045415118144,0.132534340649431,1
2,59.8576120199207,58.0242158621798,58.0242158621798,58.6314252785374,0.522426648124968,1
2,54.3572288806383,52.5913432644975,52.5913432644975,52.9600320477922,0.502756552059113,1
2,58.4122973397365,56.6430338316036,56.6430338316036,57.2667509001929,0.265717038086033,1
2,61.6367008576503,59.8569266100078,59.8569266100078,60.2500916638046,0.334972557241858,1
2,49.1770502407749,47.1540709952596,47.1540709952596,47.9344317812047,0.214645895161829,1
2,48.8505073167175,46.946439293177,46.946439293177,47.219831007925,0.380216733488852,1
2,60.6103967947738,59.8132495798415,59.8132495798415,59.09734589844,0.171768899142452,1
2,44.6072026275743,42.865273352368,42.865273352368,42.7806013965645,0.19949238254971,1
2,46.442756669175,44.8333106496998,44.8333106496998,44.925729162659,0.269938666659996,1
2,57.2482496826772,55.4149598051264,55.4149598051264,56.1656480166195,0.302856706411309,1
2,51.9684455415747,50.9095198449878,50.9095198449878,50.85185295785,0.125316327276695,1
2,30.2387509482813,28.8527040438547,28.8527040438547,28.9278036023116,0.115094348166116,1
2,30.2450402624086,28.9531855618829,28.9531855618829,29.3270162845235,0.0221680214258097,2
2,57.4527205220023,56.0134459270413,56.0134459270413,56.1152415665183,0.288718359774377,2
1,62.5558298751771,62.010332004752,62.5558298751771,61.5291927416818,0.289754035100417,3
1,39.6885126436804,39.1538353137796,39.6885126436804,38.7849560609993,0.38780757669506,3
1,55.4489000221161,54.8475608289173,55.4489000221161,55.0988284785289,0.405449075221289,3
1,49.1441575880713,48.5158069599406,49.1441575880713,47.6486758933293,0.269953084831638,3
1,47.7721759689148,47.2136812638616,47.7721759689148,46.7229466499597,0.240482637651974,3
1,53.4106265075313,52.8413145457835,53.4106265075313,52.2179712864769,0.0272335418575418,3
1,73.5075475037767,73.0038936528898,73.5075475037767,72.4556762934641,0.512047704259273,3
1,64.7596050400843,64.2382215512254,64.7596050400843,63.71866665476,0.490599514699437,3
2,65.1189359209446,63.3326345910927,65.1189359209446,63.6103758844954,0.0488754326108383,4
2,67.1345018609981,65.31047973989,67.1345018609981,65.7380169651464,0.0392601985819321,4
2,65.3855559026201,64.0507150718092,65.3855559026201,64.3306730835916,0.158868076991379,4
2,64.105785898552,62.6850562209122,64.105785898552,63.0451073581953,0.134533049281857,4
2,62.3926781598034,61.2961255434976,62.3926781598034,61.4958012721098,0.0257036194277504,4
2,35.0418737067758,33.3704692576636,33.3704692576636,33.4143170241924,0.117727931314105,5
2,42.0376230563971,40.1822126124561,40.1822126124561,40.2397105040452,0.264942988705384,5
2,65.2394143838145,63.4809201222544,65.2394143838145,64.1511421818437,0.54699053233999,6
2,50.3500940054233,48.5992586591098,50.3500940054233,48.7958855261629,0.324006472130944,7
2,33.4604003679092,31.9245400763744,33.4604003679092,31.9735571536557,0.160208345980549,7
2,48.1739599032824,46.7091158235819,48.1739599032824,46.5299200897329,0.233587378566892,7
2,40.0466009123894,38.5514826016671,40.0466009123894,38.4444601368526,0.207320243941592,7
2,57.8219558646141,55.9085166016783,57.8219558646141,56.5338152090688,0.288973425045765,7
1,44.2654958498656,43.7525630048147,44.2654958498656,44.7385594362908,0.139413886447938,8
2,61.8064418042229,60.0845324047817,61.8064418042229,60.336066194385,0.0239058313005201,9
2,71.8451566365362,70.6990754811365,71.8451566365362,70.9262290913817,0.105373381839017,9
2,57.919458001468,56.5984140895966,56.5984140895966,56.9181659331577,0.0267044652853555,12
1,65.6045833320008,65.0375412607064,65.0375412607064,65.0600746135085,0.164356999922194,14
1,63.4854572165979,62.9214442157448,62.9214442157448,62.7673004456577,0.473026006902254,14
1,65.5997076226865,65.0650017428577,65.0650017428577,64.9582850629799,0.101143210124772,14
1,70.1182246676221,69.6403512121798,69.6403512121798,69.4540563385807,0.0594159672243008,14
1,65.8360123781398,65.3200212816444,65.3200212816444,65.3712559533136,0.0996639067637084,14
1,48.2817873923721,47.6940427007409,47.6940427007409,48.0210123217757,0.0398785189239475,14
1,64.0949486939549,63.59936380513,63.59936380513,63.5489666332252,0.060414174293394,14
1,60.3438511024144,59.7144908875324,59.7144908875324,60.7849718509946,0.197521176970431,14
1,63.5346382875581,62.9554466274122,62.9554466274122,63.4060506149588,0.080743313578936,14
1,67.9186336594627,67.3723047892003,67.3723047892003,67.5178804286748,0.0188294620031211,14
1,50.3065003310309,49.8153438610846,49.8153438610846,50.5427753349808,0.0372306401369389,17
1,39.0529132496471,38.5573722744044,38.5573722744044,38.6466688559596,0.388647668445539,17
1,54.4785070613515,53.9362930941581,53.9362930941581,54.7184609710954,0.481164824788951,17
1,35.5341185827598,34.9473037545648,34.9473037545648,34.9029615496559,0.0561655942227505,17
1,35.4658031639682,34.9676220720016,34.9676220720016,35.227615507238,0.0405781549034892,17
1,61.110495392734,60.5815786122055,60.5815786122055,60.0746220068115,0.409747056405898,17
1,36.7735150563705,36.2642220687811,36.2642220687811,35.5793512667255,0.255191037750035,17
1,46.5196473247195,45.9166684012946,45.9166684012946,45.9693596419556,0.349115022424029,17
